Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
1,BRTX,Healthcare,Biotechnology,NASDAQ,522.84,99,13,18,2,2.55,3687611.865371704,1381128.0,0.0015,-12.22,505300,311456,342238,-0.073
2,OPTT,Industrials,Specialty Industrial Machinery,NYSE ARCA,512.59,99,6,13,31,1.82,954490.4619999999,9004627.0,0.1369,152.78,10618570,6196076,6159990,0.229
3,SNDK,Technology,Computer Hardware,NASDAQ,507.45,99,99,99,99,1519.97,239153471708.66736,146419001.0,0.0643,-35.44,9694840,12600296,14119466,3.716
4,XHLD,Communication Services,Broadcasting,NASDAQ,504.16,99,99,9,6,9.65,150108682.5910101,11979943.0,0.0794,-30.27,3708750,7935130,4954876,-0.345
5,MPU,Communication Services,Entertainment,NYSE ARCA,498.2,99,2,3,22,3.24,13599838.802653387,67999193.0,0.0164,97.56,190770,214156,230946,-0.492
6,BVC,Technology,Software - Application,NASDAQ,496.92,99,99,99,99,14.29,2701439987.182617,168000000.0,0.0001,-20.61,36510,44693,43680,
7,ANL,Healthcare,Biotechnology,NASDAQ,443.44,99,99,99,99,15.52,979492639.4365864,64397938.0,0.0708,-10.03,214470,173820,193312,
8,AXTI,Technology,Semiconductor Equipment & Materials,NASDAQ,422.91,99,99,99,99,64.3,4247176721.115082,65573212.0,0.1464,-55.09,8701920,9963733,10232658,1.648
9,RFAIU,Financial Services,Shell Companies,NASDAQ,395.94,99,45,49,55,47.01,,,0.06,-11.2,0,156,94,
10,EDRY,Industrials,Marine Shipping,NASDAQ,369.77,99,99,88,93,69.28,192405595.79332733,2866591.0,0.0887,-3.56,191770,158983,135304,0.57
11,IPDN,Industrials,Staffing & Employment Services,NASDAQ,361.14,99,1,4,17,3.06,58571.9232,481677.0,0.0226,-39.64,54621540,19539306,11761202,-0.28
12,CYPH,Financial Services,Asset Management,NASDAQ,357.91,99,68,87,93,2.44,244086336.53493357,107764382.0,0.0793,-34.05,16489900,10473593,6849068,
13,BUUU,Industrials,Specialty Business Services,NASDAQ,355.9,99,99,97,98,46.01,659452500.0,16695000.0,0.0019,1.68,66030,81786,75886,0.123
14,RFAI,Financial Services,Shell Companies,NASDAQ,350.42,99,28,48,57,41.5,251147329.68289375,8343765.0,0.0081,-43.15,22410,150893,103958,
15,TXG,Healthcare,Medical Devices,NASDAQ,345.5,99,99,96,93,72.68,8936670735.979492,130291168.0,0.18190001,4.32,2599800,3009066,2982898,-0.127
16,MRNA,Healthcare,Biotechnology,NASDAQ,333.79,99,95,92,94,145.62,57477991426.6785,399235889.0,0.119799994,-17.57,11527180,25250363,17283210,0.021
17,SLS,Healthcare,Biotechnology,NASDAQ,330.81,99,99,98,98,11.66,2271106267.204687,196632574.0,0.288,-26.57,6853680,7018606,7078086,
18,TJGC,Communication Services,Advertising Agencies,NASDAQ,328.84,99,60,93,4,11.02,113019253.13186169,10100023.0,0.0642,-4.17,2119110,1859716,1270510,-0.251
19,IGR,Financial Services,Asset Management,NYSE,320.83,99,78,76,75,12.38,638907803.9091682,50586524.0,2.27,-6.99,453030,489970,485518,-0.231
20,ASBP,Consumer Cyclical,Auto Parts,NASDAQ,319.84,99,96,98,1,8.58,12707167.008536339,1402557.0,0.0311,-54.26,37310,31970,39024,
21,ERAS,Healthcare,Biotechnology,NASDAQ,307.68,99,99,99,99,15.36,5554221155.827088,349762035.0,0.0988,-36.74,4351580,3694550,4079912,
22,ETS,Industrials,Trucking,NASDAQ,305.37,99,95,30,23,2.06,73075008.0,48716672.0,0.0022,32.9,887470,339543,234456,0.153
23,TWST,Healthcare,Biotechnology,NASDAQ,303.34,99,99,96,88,143.07,8434835437.21405,66301174.0,0.22950001,-7.96,1540120,1678616,1553864,0.232
24,IOVA,Healthcare,Biotechnology,NASDAQ,302.3,99,98,90,90,9.87,3895554487.9948883,452971432.0,0.20809999,5.45,13134280,17286366,16799716,0.657
25,AGL,Healthcare,Medical Care Facilities,NYSE,300.49,99,99,99,5,89.66,1507346865.333023,16791210.0,0.1026,-32.61,175090,286970,303282,0.072
